26
20
3,4,4,4,5,0,0,0,0,23,25,18,64,40,40,40,40,40,40,40,40,40,40,40,40,63
6,43,43,43,7,40,40,40,40,24,26,41,62,0,0,0,0,0,16,16,16,16,1,1,0,60
6,0,0,0,263,39,0,14,14,14,14,0,0,0,0,0,0,0,0,16,16,16,2,2,1,60
8,44,44,44,266,39,0,14,14,14,14,14,14,0,0,0,0,0,0,0,16,16,16,16,2,60
40,40,40,40,40,40,40,40,40,14,14,14,14,14,14,0,0,0,0,0,0,0,16,16,16,60
18,0,0,0,0,0,0,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,16,16,60
18,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,0,60
64,40,40,40,40,40,63,0,0,0,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,60
60,16,16,16,16,16,60,0,0,0,14,14,14,58,14,14,14,0,0,0,0,0,0,0,0,0
60,16,16,16,16,16,0,0,0,0,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
60,16,16,16,16,16,0,0,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,0,60
60,16,16,16,16,16,60,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,16,0,16,60
61,41,41,41,41,41,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,16,60
18,0,0,0,0,0,0,0,0,0,0,64,40,0,0,40,40,63,16,16,14,16,16,14,16,60
3,5,14,16,14,0,0,0,0,0,0,60,14,14,14,14,14,60,14,16,16,14,16,16,16,60
8,10,16,14,14,14,0,0,0,0,14,60,14,23,25,14,14,60,16,14,14,14,14,14,16,60
18,18,14,14,16,14,0,0,0,14,16,60,14,24,23,25,14,60,16,3,4,5,14,14,14,60
18,16,14,16,14,0,0,0,0,14,14,60,14,14,24,26,14,60,16,8,265,10,16,14,14,60
18,14,16,14,14,0,0,0,14,16,14,60,14,14,14,14,14,60,16,16,16,16,16,14,1,60
18,18,18,18,18,0,0,18,18,18,18,61,41,41,41,41,41,62,18,18,18,18,18,18,2,18
